db,id,word,problem
embree,7000,"chhit-thô gín-ná","delingquent"
embree,3260,"lí-sū","mannager"
embree,12879,i&-hat-chhī,"&"
embree,15023,"kám-un put-chin&","&"
giku,2276,kàn,fornicatioln
"embree","34086","","missing POJ"
"maryknoll","24513","khah","incomplete entry"
"maryknoll","43633","Ka-chiu kap Tâi-Oân ê sî-chha sī 1 tiám-cheng.","the number in the entry is incorrect"
"embree","27065","saⁿ-óng-lâi","felloship"
"embree","23188","o͘-iû-chhú","Cihnese"
"embree","30774","sù-boa̍t-chú","Chineese"
"embree","36297","thun-gê","Hcinese"
"embree","33018","Tiong-hôa","Vhinese"
"embree","5092","chù-ì-la̍t/le̍k","duplicate, empty entry"
"embree","36347","u","drpression"
soannteng,"91545",,"weird only-taibun entry. look for empty poj_unicode for more similar"
"embree","17171","kǹg-pán","english definition is incorrectly placed in noun_classifiers"
